hr_trigger_conf,mAP50,mAP5095,avg_energy_pct,avg_energy_saved,avg_hr_area_pct,total_lr_dets,total_hr_crops,hr_activation_rate
0.15,0.4251,0.287,29.55,70.45,23.34,1748,1583,126.0
0.2,0.4187,0.2825,28.47,71.53,22.25,1748,1426,113.5
0.3,0.4102,0.2774,26.52,73.48,20.31,1748,1228,97.8
0.4,0.3979,0.2697,24.24,75.76,18.02,1748,1068,85.0
0.5,0.3912,0.2642,22.63,77.37,16.42,1748,932,74.2
0.6,0.3837,0.2583,20.68,79.32,14.46,1748,781,62.2
0.7,0.3784,0.2527,17.68,82.32,11.47,1748,595,47.4
0.8,0.3804,0.2521,14.25,85.75,8.03,1748,372,29.6
0.9,0.3977,0.2609,8.63,91.37,2.42,1748,80,6.4
