epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6588,1.96599,2.7229,1.72087,0.24288,0.10826,0.08626,0.03619,2.4618,2.71902,2.22991,0.000550522,0.000550522,0.000550522
2,45.4279,2.04434,2.3736,1.79303,0.18136,0.09359,0.0547,0.01786,2.5254,2.8716,2.26793,0.0010925,0.0010925,0.0010925
3,67.2806,2.09768,2.35799,1.87299,0.57052,0.06882,0.04142,0.01496,2.6045,5.34027,2.3116,0.00162072,0.00162072,0.00162072
4,88.4999,2.06305,2.32251,1.84686,0.27611,0.1209,0.09835,0.03735,2.44771,2.68471,2.16725,0.00160511,0.00160511,0.00160511
5,109.793,2.04731,2.26433,1.85227,0.32125,0.12315,0.10636,0.04581,2.32702,2.67026,2.09645,0.00158448,0.00158448,0.00158448
6,131.101,2.00333,2.21693,1.81926,0.29124,0.17068,0.14115,0.06018,2.2596,2.47494,2.00598,0.00156385,0.00156385,0.00156385
7,152.697,1.99128,2.21163,1.80476,0.25973,0.17155,0.13149,0.05369,2.26916,2.4022,2.04288,0.00154323,0.00154323,0.00154323
8,174.025,1.97218,2.17546,1.79734,0.37168,0.17882,0.15631,0.06909,2.19531,2.27682,1.91219,0.0015226,0.0015226,0.0015226
9,195.276,1.92699,2.10862,1.75518,0.2725,0.17823,0.15273,0.07018,2.18375,2.29382,1.9744,0.00150197,0.00150197,0.00150197
10,216.553,1.92046,2.08166,1.73975,0.44431,0.18712,0.16803,0.07087,2.1685,2.2815,1.87891,0.00148134,0.00148134,0.00148134
11,237.821,1.89705,2.05343,1.72931,0.34319,0.18721,0.16986,0.07847,2.1178,2.19136,1.88482,0.00146071,0.00146071,0.00146071
12,259.072,1.90192,2.05471,1.72569,0.36617,0.21601,0.1918,0.08417,2.09865,2.13255,1.86688,0.00144008,0.00144008,0.00144008
13,280.366,1.87747,2.00495,1.71114,0.3342,0.20184,0.18281,0.08207,2.10389,2.16031,1.87927,0.00141945,0.00141945,0.00141945
14,301.654,1.85061,1.98272,1.69109,0.36591,0.19602,0.17028,0.07655,2.16911,2.15784,1.90719,0.00139882,0.00139882,0.00139882
