epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37.8063,0.78414,0.67613,1.01099,0.94174,0.96154,0.97842,0.75124,0.86787,0.62912,0.97545,0.0011882,0.0011882,0.0011882
43,38.621,0.77134,0.66964,1.00595,0.95811,0.96154,0.98638,0.77674,0.80358,0.6083,0.95432,0.0011684,0.0011684,0.0011684
44,39.4341,0.79303,0.64367,0.98874,0.92473,0.94504,0.98479,0.77919,0.81059,0.63187,0.95837,0.0011486,0.0011486,0.0011486
45,40.2409,0.79452,0.63382,0.99219,0.96202,0.97434,0.98507,0.78338,0.80947,0.6251,0.95226,0.0011288,0.0011288,0.0011288
46,41.0492,0.79933,0.66332,0.99054,0.96808,0.96154,0.98258,0.74518,0.88401,0.61051,0.97967,0.001109,0.001109,0.001109
47,41.8523,0.83796,0.68206,0.98652,0.98008,0.94599,0.98331,0.73491,0.91448,0.58683,1.00024,0.0010892,0.0010892,0.0010892
48,42.6526,0.84356,0.68139,1.01119,0.99417,0.96154,0.99212,0.76288,0.85167,0.57525,0.98723,0.0010694,0.0010694,0.0010694
49,43.4574,0.80623,0.67988,0.99437,0.99134,0.96154,0.99237,0.77064,0.81587,0.59377,0.97813,0.0010496,0.0010496,0.0010496
50,44.2716,0.81534,0.6579,1.00749,0.99248,0.94231,0.98919,0.80338,0.78428,0.60919,0.95296,0.0010298,0.0010298,0.0010298
51,45.1716,0.76175,0.62003,0.98078,0.96211,0.97663,0.98607,0.79824,0.76283,0.57082,0.94237,0.00101,0.00101,0.00101
52,46.0023,0.75548,0.62229,0.96494,0.94315,0.95726,0.9794,0.74696,0.83236,0.60347,0.9621,0.0009902,0.0009902,0.0009902
53,46.8008,0.78268,0.63999,0.99006,0.94334,0.96057,0.97735,0.75824,0.81353,0.57179,0.95825,0.0009704,0.0009704,0.0009704
54,47.6053,0.75114,0.63639,0.98041,0.94852,0.94231,0.97531,0.75164,0.80055,0.59851,0.95951,0.0009506,0.0009506,0.0009506
55,48.426,0.76061,0.63776,0.98896,0.96062,0.93838,0.97957,0.75875,0.80226,0.60033,0.9472,0.0009308,0.0009308,0.0009308
56,49.3641,0.81744,0.65229,0.99417,0.9613,0.95544,0.977,0.77399,0.78335,0.58551,0.96152,0.000911,0.000911,0.000911
57,50.1581,0.78499,0.6465,1.00786,0.93951,0.96154,0.9724,0.72503,0.80365,0.64404,0.97224,0.0008912,0.0008912,0.0008912
58,50.9526,0.80073,0.64336,0.98758,0.9425,0.96154,0.96591,0.73875,0.77999,0.62233,0.97305,0.0008714,0.0008714,0.0008714
59,51.7486,0.79445,0.64601,1.00815,0.92128,0.96154,0.96719,0.75045,0.76962,0.60567,0.95752,0.0008516,0.0008516,0.0008516
60,52.5668,0.74614,0.61808,0.98156,0.91055,0.96154,0.96585,0.76189,0.7561,0.58654,0.94771,0.0008318,0.0008318,0.0008318
61,53.3908,0.79119,0.61873,1.00338,0.95988,0.96154,0.97461,0.77633,0.73641,0.55179,0.94791,0.000812,0.000812,0.000812
62,54.1986,0.75976,0.58738,0.97771,0.95824,0.96154,0.96638,0.75856,0.74189,0.54434,0.94368,0.0007922,0.0007922,0.0007922
63,55.0025,0.73418,0.59783,0.971,0.94267,0.94872,0.9573,0.7427,0.77721,0.56409,0.94339,0.0007724,0.0007724,0.0007724
64,55.8049,0.75789,0.60923,0.99956,0.93798,0.96154,0.95958,0.73002,0.83412,0.58057,0.97247,0.0007526,0.0007526,0.0007526
65,56.6165,0.73599,0.59019,0.96971,0.95934,0.96154,0.97049,0.75359,0.79428,0.55102,0.9611,0.0007328,0.0007328,0.0007328
66,57.418,0.70865,0.56673,0.96494,0.95929,0.98077,0.9831,0.75197,0.83478,0.54018,0.98569,0.000713,0.000713,0.000713
67,58.2374,0.69771,0.55168,0.96531,0.96109,0.98077,0.98337,0.75213,0.84877,0.52912,0.99097,0.0006932,0.0006932,0.0006932
68,59.0563,0.72745,0.59474,0.95961,0.96031,0.98077,0.98319,0.76081,0.8232,0.53541,0.97131,0.0006734,0.0006734,0.0006734
69,59.8596,0.70649,0.58334,0.96398,0.94063,0.98077,0.982,0.78185,0.78537,0.52827,0.96636,0.0006536,0.0006536,0.0006536
70,60.67,0.73152,0.55607,0.96574,0.94694,0.96154,0.98208,0.78323,0.79304,0.5229,0.96213,0.0006338,0.0006338,0.0006338
