epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31019,1.95324,2.84289,1.97433,0.00359,0.53846,0.01339,0.00282,3.20253,3.65166,3.46572,0.00014,0.00014,0.00014
2,5.34456,1.4429,2.4254,1.44139,0.00628,0.94231,0.53119,0.14838,1.81015,2.9865,2.13604,0.00029703,0.00029703,0.00029703
3,7.11588,1.35623,1.96436,1.38393,0.00641,0.96154,0.7594,0.42852,1.29161,2.60933,1.50828,0.000450892,0.000450892,0.000450892
4,8.88846,1.27734,1.66049,1.3667,1,0.37627,0.76416,0.44781,1.44087,2.3706,1.59744,0.000601586,0.000601586,0.000601586
5,10.6501,1.26669,1.46929,1.31614,0.89731,0.33632,0.71819,0.38137,1.53479,2.39777,1.71031,0.000749112,0.000749112,0.000749112
6,12.4066,1.31863,1.4554,1.35093,0.87602,0.55769,0.70133,0.38383,1.44589,2.28171,1.69335,0.00089347,0.00089347,0.00089347
7,14.146,1.33918,1.34523,1.35479,0.63309,0.69231,0.68422,0.38982,1.37108,1.87078,1.64677,0.00103466,0.00103466,0.00103466
8,15.8933,1.30725,1.30568,1.27171,0.78644,0.67308,0.75392,0.36496,1.60133,2.04187,1.68643,0.00117268,0.00117268,0.00117268
9,17.6326,1.34693,1.29267,1.29784,0.48371,0.57692,0.50249,0.22579,1.76807,2.24492,1.86119,0.00130754,0.00130754,0.00130754
10,19.3458,1.2802,1.29442,1.28235,0.84488,0.53846,0.66985,0.30452,1.70104,2.12807,1.80423,0.00143922,0.00143922,0.00143922
11,21.0878,1.30619,1.36122,1.35608,0.50333,0.40385,0.47471,0.2046,1.90124,2.52089,2.09061,0.00156774,0.00156774,0.00156774
12,22.8093,1.23772,1.28683,1.30544,0.52895,0.36538,0.41684,0.14607,2.14298,2.71797,2.08948,0.00169309,0.00169309,0.00169309
13,24.5354,1.22356,1.20045,1.28001,0.80729,0.75,0.83151,0.4588,1.48478,1.83075,1.62902,0.0017624,0.0017624,0.0017624
14,26.2743,1.26217,1.19974,1.29941,0.67189,0.78763,0.77201,0.41208,1.50392,1.78879,1.65691,0.0017426,0.0017426,0.0017426
15,28.0397,1.22672,1.1341,1.24224,0.73775,0.75,0.79822,0.46497,1.4704,1.57598,1.61283,0.0017228,0.0017228,0.0017228
16,29.868,1.21008,1.12678,1.25067,0.781,0.59615,0.67628,0.39608,1.52093,1.57867,1.65007,0.001703,0.001703,0.001703
