hr_trigger_conf,mAP50,mAP5095,avg_energy_pct,avg_energy_saved,avg_hr_area_pct,total_lr_dets,total_hr_crops,hr_activation_rate
0.15,0.6142,0.4074,54.68,45.32,31.57,2384,1854,323.0
0.2,0.6227,0.412,53.31,46.69,29.98,2384,1686,293.7
0.3,0.6306,0.4186,51.77,48.23,27.84,2384,1492,259.9
0.4,0.6294,0.4199,50.36,49.64,26.21,2384,1322,230.3
0.5,0.6262,0.4195,49.13,50.87,24.8,2384,1188,207.0
0.6,0.6311,0.4214,47.69,52.31,23.19,2384,1059,184.5
0.7,0.6371,0.4234,45.66,54.34,21.01,2384,889,154.9
0.8,0.6412,0.4274,41.83,58.17,16.98,2384,647,112.7
0.9,0.6462,0.4435,32.84,67.16,7.87,2384,231,40.2
