hr_trigger_conf,mAP50,mAP5095,avg_energy_pct,avg_energy_saved,avg_hr_area_pct,total_lr_dets,total_hr_crops,hr_activation_rate
0.15,0.7633,0.5481,58.0,42.0,33.05,3734,3305,263.1
0.2,0.7625,0.5477,57.11,42.89,32.17,3734,3111,247.7
0.3,0.7633,0.5479,55.89,44.11,30.95,3734,2806,223.4
0.4,0.7621,0.546,54.77,45.23,29.82,3734,2586,205.9
0.5,0.7602,0.5456,53.64,46.36,28.69,3734,2391,190.4
0.6,0.758,0.546,52.16,47.84,27.22,3734,2159,171.9
0.7,0.7571,0.5465,50.37,49.63,25.42,3734,1860,148.1
0.8,0.7562,0.5438,46.08,53.92,21.13,3734,1367,108.8
0.9,0.7537,0.5441,35.62,64.38,10.67,3734,477,38.0
