epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,75.3196,0.68449,0.6339,1.01583,0.95429,0.92308,0.96112,0.75045,0.76493,0.61948,1.10653,0.0011882,0.0011882,0.0011882
43,77.0167,0.67127,0.62731,1.00896,0.95804,0.94231,0.9655,0.74467,0.7837,0.61547,1.12541,0.0011684,0.0011684,0.0011684
44,78.7211,0.64551,0.59611,0.99411,0.90688,0.93649,0.9423,0.73232,0.74534,0.6317,1.0978,0.0011486,0.0011486,0.0011486
45,80.4146,0.70612,0.61004,1.00503,0.84623,0.98077,0.8964,0.69827,0.7501,0.65663,1.09099,0.0011288,0.0011288,0.0011288
46,82.1132,0.67493,0.60521,0.98883,0.92445,0.94127,0.94591,0.7194,0.78436,0.60179,1.11454,0.001109,0.001109,0.001109
47,83.8134,0.67498,0.61794,0.99157,0.93103,0.92308,0.96899,0.74317,0.79668,0.59401,1.12945,0.0010892,0.0010892,0.0010892
48,85.5059,0.68631,0.61394,1.00984,0.91646,0.90385,0.95097,0.72479,0.80994,0.64797,1.14057,0.0010694,0.0010694,0.0010694
49,87.1967,0.66978,0.61687,1.00299,0.93162,0.90385,0.95701,0.72809,0.78209,0.6786,1.1225,0.0010496,0.0010496,0.0010496
50,88.889,0.63602,0.58823,0.9813,0.97442,0.94231,0.97502,0.74679,0.75749,0.61988,1.13587,0.0010298,0.0010298,0.0010298
51,90.5828,0.63829,0.58211,0.98746,0.98071,0.97751,0.99149,0.80752,0.66516,0.50298,1.0796,0.00101,0.00101,0.00101
52,92.327,0.62609,0.5572,0.9582,0.98029,0.95665,0.98947,0.81525,0.66293,0.51148,1.05439,0.0009902,0.0009902,0.0009902
53,94.1103,0.6587,0.57743,0.97988,0.94408,0.9741,0.98792,0.79546,0.68003,0.5297,1.03861,0.0009704,0.0009704,0.0009704
54,95.8701,0.62474,0.56642,0.97188,0.91555,0.94231,0.97063,0.7702,0.70651,0.58082,1.04658,0.0009506,0.0009506,0.0009506
55,97.6075,0.6323,0.55975,0.97467,0.9596,0.91372,0.98573,0.78096,0.68906,0.53754,1.06115,0.0009308,0.0009308,0.0009308
56,99.3326,0.65853,0.59567,0.97895,0.92693,0.9759,0.98717,0.80459,0.69726,0.50219,1.06168,0.000911,0.000911,0.000911
57,101.062,0.6654,0.57494,1.00261,0.9665,0.92308,0.98734,0.82144,0.634,0.48364,1.04506,0.0008912,0.0008912,0.0008912
58,102.832,0.65871,0.57587,0.96115,0.94579,0.92308,0.9845,0.82404,0.65702,0.49185,1.0505,0.0008714,0.0008714,0.0008714
59,104.569,0.6364,0.57499,0.99283,0.94212,0.93917,0.97603,0.79505,0.70284,0.53555,1.10821,0.0008516,0.0008516,0.0008516
60,106.281,0.61855,0.53631,0.9804,0.95762,0.96154,0.97542,0.77397,0.74516,0.52902,1.09924,0.0008318,0.0008318,0.0008318
61,107.992,0.65233,0.55816,0.99422,0.97449,0.96154,0.98091,0.78492,0.7319,0.50145,1.10973,0.000812,0.000812,0.000812
62,109.705,0.62939,0.52793,0.96182,0.97112,0.96154,0.98229,0.80069,0.68752,0.49042,1.09974,0.0007922,0.0007922,0.0007922
63,111.442,0.6004,0.51843,0.96301,0.93769,0.96154,0.96994,0.79551,0.68054,0.48872,1.09889,0.0007724,0.0007724,0.0007724
64,113.16,0.60808,0.54228,0.99032,0.96069,0.93989,0.97247,0.78111,0.70653,0.5132,1.09648,0.0007526,0.0007526,0.0007526
