epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,75.1999,0.70697,0.64033,1.01687,0.95978,0.91801,0.97597,0.72063,0.83085,0.68846,1.11268,0.0011882,0.0011882,0.0011882
43,76.9112,0.69978,0.62417,1.01145,0.92601,0.96271,0.97829,0.74705,0.77443,0.63678,1.06517,0.0011684,0.0011684,0.0011684
44,78.625,0.64615,0.60879,0.98155,0.9214,0.96154,0.97007,0.79141,0.66099,0.58929,1.02269,0.0011486,0.0011486,0.0011486
45,80.3992,0.71295,0.62404,1.00908,0.94152,0.92893,0.96546,0.7712,0.68778,0.5929,1.02488,0.0011288,0.0011288,0.0011288
46,82.1431,0.67354,0.61774,0.99245,0.94167,0.93147,0.9571,0.72432,0.82659,0.57168,1.08021,0.001109,0.001109,0.001109
47,83.8662,0.67452,0.60804,1.00017,0.90786,0.90385,0.94549,0.68826,0.94501,0.66802,1.15759,0.0010892,0.0010892,0.0010892
48,85.5858,0.71111,0.61237,1.02765,0.90581,0.90385,0.96139,0.69039,0.92422,0.70397,1.18588,0.0010694,0.0010694,0.0010694
49,87.3052,0.66397,0.60005,0.99807,0.9397,0.89916,0.96804,0.78335,0.69528,0.53941,1.09342,0.0010496,0.0010496,0.0010496
50,89.0436,0.69296,0.5923,1.01548,0.89245,0.9575,0.96687,0.76243,0.72855,0.57884,1.08439,0.0010298,0.0010298,0.0010298
51,90.7472,0.67551,0.60142,1.00421,0.9603,0.94231,0.98322,0.8044,0.6593,0.55147,1.05,0.00101,0.00101,0.00101
52,92.4825,0.63164,0.57064,0.95613,0.93942,0.94231,0.96336,0.77503,0.72398,0.57978,1.08461,0.0009902,0.0009902,0.0009902
53,94.1933,0.67024,0.57405,0.98392,0.92677,0.94231,0.95657,0.77927,0.71989,0.59636,1.07023,0.0009704,0.0009704,0.0009704
54,95.9139,0.63589,0.57404,0.97629,0.90535,0.94231,0.97017,0.78298,0.68912,0.60049,1.06171,0.0009506,0.0009506,0.0009506
55,97.6627,0.65482,0.57272,0.98891,0.94312,0.92308,0.98559,0.80102,0.67998,0.5416,1.06272,0.0009308,0.0009308,0.0009308
56,99.3908,0.65979,0.57609,0.98626,0.94026,0.94231,0.9842,0.80903,0.69246,0.52032,1.05721,0.000911,0.000911,0.000911
57,101.117,0.64446,0.5738,0.99471,0.9107,0.98059,0.98241,0.80411,0.72564,0.5413,1.05267,0.0008912,0.0008912,0.0008912
58,102.845,0.68976,0.59021,0.98627,0.92705,0.97764,0.98536,0.79333,0.75566,0.52584,1.06549,0.0008714,0.0008714,0.0008714
59,104.56,0.67212,0.57972,1.00106,0.92135,1,0.98378,0.81161,0.67754,0.52052,1.04905,0.0008516,0.0008516,0.0008516
60,106.277,0.61406,0.54834,0.97787,0.94183,0.98077,0.989,0.79548,0.68953,0.52958,1.0457,0.0008318,0.0008318,0.0008318
61,108.053,0.66056,0.57628,0.99896,0.96134,0.95644,0.98813,0.80599,0.69551,0.52218,1.04724,0.000812,0.000812,0.000812
62,109.811,0.63492,0.53836,0.96905,0.97368,0.94231,0.9847,0.82383,0.61636,0.53044,0.99838,0.0007922,0.0007922,0.0007922
63,111.597,0.57833,0.52803,0.95518,0.94213,0.9392,0.97063,0.79579,0.62673,0.52042,1.00562,0.0007724,0.0007724,0.0007724
64,113.368,0.65245,0.57073,1.00296,0.98023,0.95363,0.98306,0.79004,0.70747,0.50981,1.03543,0.0007526,0.0007526,0.0007526
65,115.092,0.63027,0.54497,0.97712,0.97479,0.96154,0.9664,0.78222,0.70741,0.53076,1.05503,0.0007328,0.0007328,0.0007328
