epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1565,1.67544,2.70766,1.68407,0.518,0.14918,0.19598,0.08319,2.16098,2.65974,2.06174,0.000548972,0.000548972,0.000548972
2,43.847,1.73878,2.28724,1.75952,0.25321,0.25015,0.16247,0.06456,2.1929,2.97506,2.22907,0.0010937,0.0010937,0.0010937
3,64.0276,1.7813,2.29666,1.82768,0.18882,0.19872,0.10653,0.04018,2.26633,3.77144,2.43109,0.00162743,0.00162743,0.00162743
4,84.1091,1.80286,2.26997,1.84707,0.21502,0.2161,0.12182,0.0469,2.33333,3.16099,2.41582,0.00161749,0.00161749,0.00161749
5,104.37,1.76588,2.1645,1.81625,0.28674,0.28594,0.1683,0.06829,2.23941,3.46598,2.19329,0.00160099,0.00160099,0.00160099
6,124.333,1.75466,2.14364,1.80942,0.28155,0.24552,0.18056,0.07191,2.20132,2.74909,2.22465,0.00158448,0.00158448,0.00158448
7,144.234,1.71574,2.05876,1.7796,0.45595,0.33097,0.30771,0.14445,1.97185,2.24082,1.99126,0.00156798,0.00156798,0.00156798
8,164.1,1.6656,2.00648,1.74102,0.46559,0.31742,0.30704,0.14494,1.98033,2.21109,2.03361,0.00155148,0.00155148,0.00155148
9,184.003,1.64689,1.96654,1.73488,0.4652,0.32573,0.30117,0.14367,1.98413,2.353,2.01607,0.00153497,0.00153497,0.00153497
10,204.097,1.60768,1.92843,1.70683,0.41607,0.334,0.3127,0.14194,1.95411,2.28943,1.99322,0.00151847,0.00151847,0.00151847
11,224.114,1.6539,1.9453,1.72607,0.39476,0.31717,0.30293,0.14417,1.9645,2.27586,2.02559,0.00150197,0.00150197,0.00150197
12,244.258,1.58451,1.87818,1.6852,0.49728,0.32689,0.34262,0.15957,1.95679,2.14219,1.98325,0.00148546,0.00148546,0.00148546
13,264.1,1.58072,1.86443,1.6846,0.47995,0.28902,0.30606,0.1498,1.99139,2.27401,2.02517,0.00146896,0.00146896,0.00146896
14,284.018,1.5836,1.82269,1.68428,0.47099,0.36035,0.35631,0.1674,1.94658,2.16914,1.95324,0.00145246,0.00145246,0.00145246
15,304.033,1.56333,1.79421,1.65946,0.55317,0.34831,0.36915,0.18004,1.90953,2.00483,1.90129,0.00143595,0.00143595,0.00143595
16,323.958,1.5653,1.79766,1.6567,0.49264,0.35719,0.36365,0.18794,1.87261,2.04922,1.91655,0.00141945,0.00141945,0.00141945
17,343.781,1.52401,1.77064,1.65065,0.53508,0.35331,0.38212,0.19881,1.81782,1.96146,1.88166,0.00140295,0.00140295,0.00140295
18,363.56,1.50486,1.72735,1.63411,0.59455,0.36765,0.39511,0.20878,1.7784,2.01904,1.81933,0.00138644,0.00138644,0.00138644
19,383.267,1.49027,1.70847,1.61598,0.55114,0.39349,0.42533,0.23034,1.79712,1.8355,1.82303,0.00136994,0.00136994,0.00136994
20,403.1,1.51252,1.70294,1.62119,0.51723,0.38234,0.387,0.19584,1.87395,2.00397,1.84591,0.00135344,0.00135344,0.00135344
21,422.862,1.4838,1.66975,1.59757,0.53941,0.37135,0.39162,0.20585,1.81693,1.90793,1.85267,0.00133693,0.00133693,0.00133693
22,442.757,1.49173,1.66058,1.60003,0.58277,0.38673,0.41342,0.21359,1.86141,1.84352,1.88591,0.00132043,0.00132043,0.00132043
23,462.859,1.48527,1.67702,1.61451,0.62019,0.38748,0.43584,0.23295,1.77772,1.81929,1.79851,0.00130393,0.00130393,0.00130393
24,482.707,1.47615,1.63714,1.57787,0.57112,0.36955,0.39929,0.21296,1.80243,1.94222,1.83062,0.00128742,0.00128742,0.00128742
25,502.374,1.45293,1.62041,1.58092,0.55521,0.37635,0.41761,0.21825,1.84072,1.89275,1.85121,0.00127092,0.00127092,0.00127092
26,522.035,1.43909,1.62746,1.57967,0.63817,0.38888,0.44342,0.24205,1.77847,1.80715,1.79483,0.00125442,0.00125442,0.00125442
27,541.773,1.42662,1.56633,1.54924,0.51436,0.40154,0.4203,0.23326,1.79755,1.82615,1.8309,0.00123791,0.00123791,0.00123791
28,561.536,1.43152,1.54875,1.53759,0.61514,0.3879,0.42025,0.21976,1.78515,1.83406,1.79736,0.00122141,0.00122141,0.00122141
29,581.256,1.42724,1.57698,1.55845,0.58729,0.41985,0.44611,0.23967,1.80683,1.76114,1.81105,0.00120491,0.00120491,0.00120491
30,601.072,1.41151,1.52333,1.52911,0.59665,0.38299,0.43805,0.24614,1.7865,1.7888,1.82211,0.0011884,0.0011884,0.0011884
31,620.989,1.39084,1.517,1.52046,0.61067,0.42335,0.46428,0.24921,1.7426,1.69196,1.77387,0.0011719,0.0011719,0.0011719
32,640.657,1.40924,1.5229,1.53759,0.61081,0.41213,0.46461,0.25476,1.75921,1.74123,1.74444,0.0011554,0.0011554,0.0011554
33,660.324,1.39352,1.49619,1.52348,0.59524,0.41285,0.45812,0.24964,1.75904,1.75052,1.79846,0.00113889,0.00113889,0.00113889
34,680.059,1.38451,1.502,1.5257,0.61378,0.4241,0.45519,0.24411,1.80237,1.76241,1.7932,0.00112239,0.00112239,0.00112239
35,699.784,1.38194,1.47029,1.51389,0.61427,0.42993,0.47299,0.26507,1.74899,1.6681,1.76747,0.00110589,0.00110589,0.00110589
36,719.695,1.36392,1.45975,1.50106,0.62591,0.41796,0.47849,0.26224,1.70663,1.6556,1.72318,0.00108938,0.00108938,0.00108938
37,739.653,1.37087,1.4785,1.51265,0.58713,0.41638,0.44293,0.24607,1.73606,1.75629,1.76161,0.00107288,0.00107288,0.00107288
38,759.375,1.33362,1.43632,1.48812,0.61707,0.42213,0.47408,0.26129,1.72971,1.74296,1.75078,0.00105638,0.00105638,0.00105638
39,779.307,1.36052,1.42489,1.49371,0.57244,0.39068,0.41637,0.22212,1.83446,1.81581,1.79013,0.00103987,0.00103987,0.00103987
40,799.747,1.34937,1.42706,1.48453,0.63065,0.41437,0.47099,0.25949,1.73333,1.69113,1.7485,0.00102337,0.00102337,0.00102337
41,820.372,1.33243,1.39845,1.47733,0.66325,0.42413,0.4804,0.26375,1.70109,1.66996,1.72228,0.00100687,0.00100687,0.00100687
42,840.763,1.34069,1.40201,1.47191,0.64308,0.43954,0.48743,0.2769,1.69259,1.67279,1.73186,0.000990365,0.000990365,0.000990365
43,861.16,1.29424,1.35233,1.45279,0.63539,0.43396,0.48195,0.26927,1.72738,1.63018,1.7538,0.000973861,0.000973861,0.000973861
44,881.725,1.32142,1.39103,1.4731,0.63098,0.4266,0.48315,0.27293,1.684,1.60606,1.71609,0.000957358,0.000957358,0.000957358
45,902.33,1.28933,1.35862,1.4435,0.64414,0.42078,0.49022,0.2726,1.70851,1.61612,1.71428,0.000940855,0.000940855,0.000940855
46,922.72,1.29803,1.34333,1.44936,0.65422,0.42321,0.47463,0.26387,1.737,1.64524,1.7603,0.000924352,0.000924352,0.000924352
47,943.266,1.28231,1.33744,1.44054,0.64247,0.42222,0.47804,0.27463,1.69193,1.64439,1.71332,0.000907848,0.000907848,0.000907848
48,963.982,1.29047,1.33407,1.43128,0.63658,0.43311,0.48961,0.27602,1.70031,1.62003,1.72217,0.000891345,0.000891345,0.000891345
49,984.555,1.29707,1.30957,1.43788,0.64703,0.43583,0.49516,0.28485,1.67508,1.61103,1.70523,0.000874842,0.000874842,0.000874842
