hr_trigger_conf,mAP50,mAP5095,avg_energy_pct,avg_energy_saved,avg_hr_area_pct,total_lr_dets,total_hr_crops,hr_activation_rate
0.15,0.6333,0.4538,51.71,48.29,26.74,2384,1964,342.2
0.2,0.6367,0.4545,50.89,49.11,25.91,2384,1773,308.9
0.3,0.6344,0.4538,49.79,50.21,24.81,2384,1548,269.7
0.4,0.6349,0.4537,48.62,51.38,23.64,2384,1368,238.3
0.5,0.6321,0.452,47.69,52.31,22.72,2384,1222,212.9
0.6,0.6242,0.4504,46.57,53.43,21.59,2384,1081,188.3
0.7,0.6264,0.4465,44.73,55.27,19.75,2384,900,156.8
0.8,0.6266,0.4441,41.26,58.74,16.28,2384,647,112.7
0.9,0.6377,0.4492,32.78,67.22,7.8,2384,231,40.2
