hr_trigger_conf,mAP50,mAP5095,avg_energy_pct,avg_energy_saved,avg_hr_area_pct,total_lr_dets,total_hr_crops,hr_activation_rate
0.15,0.9603,0.8437,55.67,44.33,30.73,71,69,265.4
0.2,0.9603,0.8437,55.32,44.68,30.37,71,67,257.7
0.3,0.9603,0.8437,55.22,44.78,30.27,71,64,246.2
0.4,0.9603,0.8437,55.0,45.0,30.05,71,62,238.5
0.5,0.9603,0.8437,54.8,45.2,29.86,71,61,234.6
0.6,0.9603,0.8431,54.32,45.68,29.37,71,56,215.4
0.7,0.9603,0.8423,53.44,46.56,28.5,71,53,203.8
0.8,0.9565,0.8404,53.0,47.0,28.06,71,49,188.5
0.9,0.9551,0.83,48.99,51.01,24.04,71,38,146.2
