hr_trigger_conf,mAP50,mAP5095,avg_energy_pct,avg_energy_saved,avg_hr_area_pct,total_lr_dets,total_hr_crops,hr_activation_rate
0.15,0.4839,0.3549,29.55,70.45,23.34,1748,1583,126.0
0.2,0.4761,0.3468,28.47,71.53,22.25,1748,1426,113.5
0.3,0.4666,0.3363,26.52,73.48,20.31,1748,1228,97.8
0.4,0.4563,0.3262,24.24,75.76,18.02,1748,1068,85.0
0.5,0.4461,0.3165,22.63,77.37,16.42,1748,932,74.2
0.6,0.4375,0.3065,20.68,79.32,14.46,1748,781,62.2
0.7,0.4304,0.2982,17.68,82.32,11.47,1748,595,47.4
0.8,0.4204,0.2843,14.25,85.75,8.03,1748,372,29.6
0.9,0.4114,0.2709,8.63,91.37,2.42,1748,80,6.4
